time,open,high,low,close,Lag 0
1672531200,16529.49,16539.68,16504.31,16538.8,NaN
1672538400,16538.32,16543.98,16509.9,16522.15,NaN
1672545600,16522.57,16523.82,16504.07,16521.19,NaN
1672552800,16519.57,16537.09,16496.6,16516.21,NaN
1672560000,16517.71,16529.97,16501.21,16527.44,NaN
1672567200,16528.47,16544.54,16523.96,16544.37,NaN
1672574400,16544.48,16558.91,16537.67,16542.21,NaN
1672581600,16542.54,16552.76,16532.77,16552.6,NaN
1672588800,16552.6,16588.27,16552.31,16572.73,NaN
1672596000,16575.62,16611.41,16574.72,16598.22,NaN
1672603200,16597.65,16616.35,16592.47,16602.31,NaN
1672610400,16602.9,16619.63,16588.24,16613.48,NaN
1672617600,16612.77,16620.31,16549.9,16561.88,NaN
1672624800,16561.66,16690.61,16553.26,16656.58,NaN
1672632000,16656.83,16665.75,16614.64,16643.38,NaN
1672639200,16642.16,16751.22,16630.46,16717.26,NaN
1672646400,16716.16,16759.06,16707.47,16712.87,NaN
1672653600,16712.79,16749.59,16703.45,16729.42,NaN
1672660800,16729.47,16736.11,16682.97,16692.65,NaN
1672668000,16692.74,16738.97,16670.48,16727.2,NaN
1672675200,16728.63,16730.08,16702.37,16707.71,NaN
1672682400,16708.7,16730.57,16701.8,16729.35,NaN
1672689600,16729.88,16781.17,16706.89,16750.6,NaN
1672696800,16750.82,16754.01,16663.18,16668.97,NaN
1672704000,16668.69,16699.09,16648.13,16670.15,NaN
1672711200,16669.95,16691.1,16664.27,16685.67,NaN
1672718400,16685.91,16720.11,16680.55,16719.54,NaN
1672725600,16719.46,16766.49,16708.58,16725.55,NaN
1672732800,16725.32,16749.17,16698.34,16735.77,NaN
1672740000,16738.41,16743.63,16709.45,16716.99,NaN
1672747200,16717.14,16728.29,16700.07,16722.24,NaN
1672754400,16722.29,16766.07,16612.12,16673.76,NaN
1672761600,16672.12,16682.61,16602.73,16623.38,NaN
1672768800,16623.89,16646.18,16618.08,16634.94,NaN
1672776000,16635.54,16668.74,16634.21,16661.09,NaN
1672783200,16662.11,16683.04,16646.69,16670.73,NaN
1672790400,16670.41,16721.64,16650.59,16694.28,NaN
1672797600,16694.28,16865.5,16694.13,16859.13,NaN
1672804800,16858.64,16899.66,16836.5,16850.24,NaN
1672812000,16850.29,16879.09,16846.67,16867.11,NaN
1672819200,16867.46,16905.72,16833.81,16840.12,NaN
1672826400,16839.87,16848.49,16830.11,16830.47,NaN
1672833600,16832.57,16835.8,16796.69,16820.41,NaN
1672840800,16820.67,16849.41,16761.45,16847.47,NaN
1672848000,16848.05,16932.53,16826.76,16892.35,NaN
1672855200,16892.38,16983.62,16786.85,16833.32,NaN
1672862400,16835.16,16842.01,16774.1,16819.54,NaN
1672869600,16820.14,16862.08,16812.95,16849.16,NaN
1672876800,16848.84,16872.12,16812.11,16835.19,NaN
1672884000,16834.82,16842.91,16817.27,16822.32,NaN
1672891200,16823.73,16843.92,16817.54,16841.58,NaN
1672898400,16841.4,16842.28,16791.84,16819.37,NaN
1672905600,16819.61,16823.68,16783.4,16801.6,NaN
1672912800,16801.62,16829.02,16797.89,16827.19,NaN
1672920000,16827.49,16828.22,16775.96,16776.67,NaN
1672927200,16777.18,16870.23,16750.9,16838.93,NaN
1672934400,16838.67,16856.41,16809.29,16811.41,NaN
1672941600,16811.12,16870.56,16799.05,16861.17,NaN
1672948800,16861.27,16866.19,16836.92,16846.04,NaN
1672956000,16846.44,16852.87,16816.78,16825.79,NaN
1672963200,16825.98,16859.62,16821.36,16823.79,NaN
1672970400,16824.38,16834.17,16799.96,16829.34,NaN
1672977600,16829.36,16832.41,16787.8,16803.5,NaN
1672984800,16802.41,16807.64,16777.31,16783.67,NaN
1672992000,16783.52,16801.45,16759,16781.17,NaN
1672999200,16780.97,16796.12,16706.45,16732.33,NaN
1673006400,16732.31,16805.67,16673.46,16768.11,NaN
1673013600,16767.57,16836.93,16714.38,16833.77,NaN
1673020800,16833.51,16839.86,16800.92,16813.05,NaN
1673028000,16813.81,16958.03,16813.46,16935.76,NaN
1673035200,16936.21,17032.24,16889.14,16930.74,NaN
1673042400,16930.98,16979.21,16930.98,16950.52,NaN
1673049600,16951.53,16977.59,16938.5,16951.43,NaN
1673056800,16951.6,16956.43,16939.31,16949.58,NaN
1673064000,16949.57,16949.89,16933.52,16934.66,NaN
1673071200,16934.38,16945.08,16924.49,16944.28,NaN
1673078400,16944.37,16947.76,16922.72,16926.75,NaN
1673085600,16926.75,16927.93,16909.36,16916.67,NaN
1673092800,16916.07,16930.33,16909.44,16915.88,NaN
1673100000,16915.2,16941.17,16908.88,16936.63,NaN
1673107200,16937.26,16937.26,16917.58,16928,NaN
1673114400,16928.27,16939.91,16919.17,16938.88,NaN
1673121600,16938.86,16946.67,16934.71,16940.27,NaN
1673128800,16940.19,16947.93,16933.15,16944.73,NaN
1673136000,16944.76,16954.88,16915.35,16928.5,NaN
1673143200,16929.37,16942.22,16918.92,16941.99,NaN
1673150400,16942.02,16942.93,16935.12,16940.67,NaN
1673157600,16940.94,16951.6,16935.89,16949.8,NaN
1673164800,16950.04,16960.25,16928.79,16935.58,NaN
1673172000,16935.9,16940.84,16931.54,16931.74,NaN
1673179200,16931.77,16934.1,16923.87,16932.21,NaN
1673186400,16931.87,17014.96,16930.32,16996.33,NaN
1673193600,16999.87,17017.26,16919.11,16928.1,NaN
1673200800,16928.4,16936.5,16921.9,16929.63,NaN
1673208000,16929.43,16982.58,16926.97,16957.38,NaN
1673215200,16957.25,17164.44,16952.62,17124.86,NaN
1673222400,17126.45,17216.08,17107.72,17180.6,NaN
1673229600,17180.11,17257.6,17166.11,17199.92,NaN
1673236800,17199.51,17251.25,17197.84,17207.71,NaN
1673244000,17208.14,17210.86,17186.47,17201.01,NaN
1673251200,17200.9,17285.9,17191.72,17241.24,NaN
1673258400,17241.08,17279.15,17238.76,17240.25,NaN
1673265600,17239.74,17288.78,17195.36,17224.44,NaN
1673272800,17225.75,17331.24,17209.18,17272.47,NaN
1673280000,17270.92,17378.21,17270.42,17359.64,NaN
1673287200,17359.67,17395.43,17299.17,17299.42,NaN
1673294400,17298.07,17310.68,17169.15,17182.08,NaN
1673301600,17180.35,17225.27,17134.34,17179.7,NaN
1673308800,17179.19,17232.56,17176.85,17196.84,NaN
1673316000,17198.87,17216.85,17150.32,17206.28,NaN
1673323200,17205.45,17229.69,17198.97,17227.24,NaN
1673330400,17226.98,17229.88,17193.34,17199.06,NaN
1673337600,17199.39,17272.57,17190.8,17249.63,NaN
1673344800,17248.81,17281.85,17238.06,17255.29,NaN
1673352000,17255.09,17258.12,17214.89,17243.03,NaN
1673359200,17244.27,17371.38,17219.71,17330.57,NaN
1673366400,17331.61,17342.12,17290.77,17328.84,NaN
1673373600,17329.13,17451,17326,17430.51,NaN
1673380800,17431.78,17490.87,17406.78,17466.97,NaN
1673388000,17465.76,17466.15,17409.06,17443.89,NaN
1673395200,17442.9,17503.57,17431.26,17460.25,NaN
1673402400,17461.12,17462.43,17369.07,17416.11,NaN
1673409600,17415.71,17435.27,17396.38,17410.17,NaN
1673416800,17408.65,17460.08,17393.87,17448.76,NaN
1673424000,17449.03,17468.41,17413.94,17446.72,NaN
1673431200,17447.65,17457.16,17433.25,17439.04,NaN
1673438400,17438.32,17439.05,17389.92,17414.04,NaN
1673445600,17415.17,17435.67,17313.33,17331.67,NaN
1673452800,17330.41,17392.27,17325.85,17384.57,NaN
1673460000,17384.16,17554.5,17383.89,17549.93,NaN
1673467200,17550.48,17581.34,17515.18,17561.73,NaN
1673474400,17563.25,17990.26,17521.68,17941.69,NaN
1673481600,17946.85,18284.87,17910.79,18229.75,NaN
1673488800,18223.38,18370.83,18178.92,18222.67,NaN
1673496000,18223.19,18236.34,18079.68,18087.2,NaN
1673503200,18089.76,18174.03,18088.98,18132.31,NaN
1673510400,18131.98,18167.99,18067.45,18164.44,NaN
1673517600,18162.88,18217.32,18146.03,18202.78,NaN
1673524800,18199.4,18335.03,17945.07,18293.39,NaN
1673532000,18288.38,18347.65,17930.12,18092.59,NaN
1673539200,18084.75,18874.34,18059.39,18838.58,NaN
1673546400,18833.67,19048.47,18621.34,18892.35,NaN
1673553600,18893.38,19109.16,18769.22,18831.05,NaN
1673560800,18834.87,18924.95,18786.78,18852.7,NaN
1673568000,18855.18,18888.04,18721.32,18810.92,NaN
1673575200,18812.3,18878.3,18791.37,18876.72,NaN
1673582400,18876.56,18877.43,18783.58,18789.59,NaN
1673589600,18789.44,18859.38,18786.87,18824.68,NaN
1673596800,18826.81,18930.89,18818.93,18913.11,NaN
1673604000,18907.46,19050.21,18862.3,18924.25,NaN
1673611200,18923.75,18935.87,18813.33,18856.81,NaN
1673618400,18855.02,19309.04,18836.97,19267.81,NaN
1673625600,19272.97,19398.29,19071.6,19260.73,NaN
1673632800,19260.57,19382.67,19254.46,19364.1,NaN
1673640000,19366.36,19897.7,19323.85,19812.52,NaN
1673647200,19811.77,19994.7,19744.03,19932.48,NaN
1673654400,19934.34,21366,19900.36,20934.01,NaN
1673661600,20934.9,21043.56,20786.58,20965.24,NaN
1673668800,20968.64,21023.69,20782.37,20841.33,NaN
1673676000,20841.49,20969.94,20841.04,20904.07,NaN
1673683200,20902.56,21020.19,20316.96,20530.88,NaN
1673690400,20525.88,20744.66,20243.91,20730,NaN
1673697600,20728.26,20979.91,20584.92,20940.5,NaN
1673704800,20937.36,21183.64,20567.59,20787.82,NaN
1673712000,20787.5,20908.41,20735.82,20759.53,NaN
1673719200,20756.66,20863.18,20668.22,20796.4,NaN
1673726400,20794.17,20943.74,20766.25,20905.16,NaN
1673733600,20905.25,21073.88,20872.74,20959.43,NaN
1673740800,20962.42,21002.95,20643.18,20778.02,NaN
1673748000,20776.21,20817.44,20550.57,20728.06,NaN
1673755200,20724.91,20786.74,20682.49,20751.55,NaN
1673762400,20751.55,20790.68,20670.24,20738.42,NaN
1673769600,20741.18,20756.04,20580.86,20752.69,NaN
1673776800,20751.5,20759.66,20669.66,20728.1,NaN
1673784000,20726.61,20843.54,20659.62,20714.31,NaN
1673791200,20712.62,20996.47,20693.41,20919.88,NaN
1673798400,20921.53,21057.31,20863.81,20928.94,NaN
1673805600,20925.26,20926.93,20678.2,20874.51,NaN
1673812800,20878.11,20934.64,20843.79,20907.97,NaN
1673820000,20907.86,20957.2,20752.47,20884.18,NaN
1673827200,20877.28,21322.55,20783.7,21194.12,NaN
1673834400,21194.46,21440.06,21046.61,21083.95,NaN
1673841600,21089.79,21217.97,21053.32,21200.28,NaN
1673848800,21195.48,21259.76,21081.09,21120.73,NaN
1673856000,21120.54,21122.19,20670.66,20839,NaN
1673863200,20835.08,20901.96,20797.33,20826.21,NaN
1673870400,20828.5,20872.18,20779.39,20827.31,NaN
1673877600,20828.1,21054.71,20626.97,20998.12,NaN
1673884800,20998.25,21163.67,20926.17,21106.94,NaN
1673892000,21106.63,21401.17,21060.35,21311.91,NaN
1673899200,21313.67,21459.13,21061.04,21132.79,NaN
1673906400,21135.03,21226.43,21108.11,21189.86,NaN
1673913600,21189.6,21296.65,20857.94,21051,NaN
1673920800,21048.23,21171.34,20997.42,21126.94,NaN
1673928000,21125.74,21228.44,21106.28,21150.18,NaN
1673935200,21149.98,21173.63,21066.77,21136.02,NaN
1673942400,21136.19,21242.77,21133.73,21179.7,NaN
1673949600,21178.48,21233.61,21091.32,21225.98,NaN
1673956800,21225.84,21345.12,21186.47,21234.34,NaN
1673964000,21235.47,21615.85,21037.91,21185.45,NaN
1673971200,21180.45,21245.06,21087.89,21226.99,NaN
1673978400,21227.19,21423.33,21194.27,21340.91,NaN
1673985600,21343.16,21402.37,21272.59,21317.22,NaN
1673992800,21315.48,21340.55,21130.69,21140.12,NaN
1674000000,21141.05,21261.61,21116.54,21239.38,NaN
1674007200,21245.9,21375.5,21168.57,21266.39,NaN
1674014400,21266.78,21317.03,21235.71,21312.93,NaN
1674021600,21313.45,21315.26,21249.6,21308.15,NaN
1674028800,21309.23,21314.51,21160.47,21234.76,NaN
1674036000,21233.51,21256.52,21172.69,21207.41,NaN
1674043200,21205.17,21475.83,21204.17,21415.16,NaN
1674050400,21413.2,21645.96,20825.98,21022.48,NaN
1674057600,21024.88,21134.06,20388.16,20881.48,NaN
1674064800,20881.02,21054.07,20845.24,20898.67,NaN
1674072000,20896.91,20933.6,20669.99,20777.69,NaN
1674079200,20775.49,20805.95,20629.14,20676.07,NaN
1674086400,20673.54,20771.36,20665.81,20711.51,NaN
1674093600,20713.24,20807.02,20661.42,20743.75,NaN
1674100800,20742.43,20863.79,20740.57,20810.39,NaN
1674108000,20812.65,20861.02,20802.68,20813.16,NaN
1674115200,20818.71,20842.17,20736.54,20796.29,NaN
1674122400,20796.28,20801.13,20710.02,20738.96,NaN
1674129600,20738.87,20805.08,20667.37,20779.56,NaN
1674136800,20780.65,20954.46,20721.57,20877.47,NaN
1674144000,20877.04,20942.17,20799.79,20840.74,NaN
1674151200,20842.75,21132.1,20836.52,21096.56,NaN
1674158400,21101.04,21194.29,20933.88,20941.06,NaN
1674165600,20940.64,21126.51,20937.53,21085.41,NaN
1674172800,21083.73,21143.23,21019.36,21125.55,NaN
1674180000,21124.9,21216.94,21073.63,21092.41,NaN
1674187200,21091.9,21127.97,20958.96,20984.54,NaN
1674194400,20981.38,20995.74,20871.18,20965.31,NaN
1674201600,20964.52,20990.03,20908.8,20959.45,NaN
1674208800,20960.92,20981.4,20920.84,20967.05,NaN
1674216000,20966.56,21141.57,20963.35,21063.18,NaN
1674223200,21060.84,21242.78,21022.63,21144.82,NaN
1674230400,21146.69,21419.39,21144.44,21359.06,NaN
1674237600,21361.14,21529.06,21298.09,21501.24,NaN
1674244800,21509.38,22445.1,21506.88,22322.62,NaN
1674252000,22323.83,22752.46,22323.28,22679.14,NaN
1674259200,22676.08,22795.41,22444.19,22570.68,NaN
1674266400,22570.41,22629.97,22507.54,22554.2,NaN
1674273600,22554.89,22644.14,22522.23,22578.78,NaN
1674280800,22576.88,22674.64,22563.31,22648.71,NaN
1674288000,22647.81,23106.3,22639.15,23038.91,NaN
1674295200,23037.39,23337.85,22618.44,22912.46,NaN
1674302400,22912.29,23074.61,22867.83,22934.17,NaN
1674309600,22938.93,23285.46,22889.32,22997.89,NaN
1674316800,23012.09,23377.23,22999.79,23235.98,NaN
1674324000,23233.28,23316.22,23073.57,23290.47,NaN
1674331200,23293.16,23311.32,23033.98,23199.66,NaN
1674338400,23198.95,23203.66,22703.97,22785.95,NaN
1674345600,22787.22,22971.18,22696.99,22800.09,NaN
1674352800,22803.8,22833.07,22614.93,22764.05,NaN
1674360000,22758.65,22894.24,22724.59,22882.53,NaN
1674367200,22883.48,22973.68,22872.68,22901.41,NaN
1674374400,22899.49,22938.09,22820.13,22862.55,NaN
1674381600,22861.53,22904.46,22740.63,22781.62,NaN
1674388800,22787.77,22926.28,22714.28,22903.83,NaN
1674396000,22903.41,23082.75,22643.58,22793.07,NaN
1674403200,22798.87,22956.2,22701.03,22925.18,NaN
1674410400,22931.55,22938.82,22690.16,22722.01,NaN
1674417600,22728.99,22733.32,22306.21,22596.2,NaN
1674424800,22592.91,22774.25,22549.57,22717.7,NaN
1674432000,22715.43,22819.49,22670.92,22702.17,NaN
1674439200,22706.63,22772.65,22661.23,22671.15,NaN
1674446400,22670.26,22770.81,22669.88,22727.65,NaN
1674453600,22725.79,22793.4,22616.7,22697.29,NaN
1674460800,22698.57,22786.71,22671.31,22785.48,NaN
1674468000,22784.21,22956,22775.01,22907.16,NaN
1674475200,22907.59,22975.82,22677.08,22803.4,NaN
1674482400,22798.71,23125.72,22514.87,22862.83,NaN
1674489600,22864.93,23061.89,22777.4,23061.11,NaN
1674496800,23064.36,23171.41,22659.87,22792.37,NaN
1674504000,22787.99,23042.66,22768.23,23001.95,NaN
1674511200,23001.22,23034.27,22866.42,22921.29,NaN
1674518400,22921.4,23103.42,22872.12,23096.86,NaN
1674525600,23098.28,23147.79,23015.89,23085.88,NaN
1674532800,23086.21,23161.21,23034.64,23122.3,NaN
1674540000,23123.56,23157.08,23023.38,23058.69,NaN
1674547200,23058.79,23094.39,22787.49,22860.48,NaN
1674554400,22859.15,22947.84,22856.33,22924.82,NaN
1674561600,22924.08,23034.23,22793.69,22861.06,NaN
1674568800,22860.31,22957.75,22717.82,22935.58,NaN
1674576000,22938.79,22950.78,22788.93,22912.52,NaN
1674583200,22913.39,23070.56,22879.54,23026.83,NaN
1674590400,23027,23080.54,22823.91,22903.88,NaN
1674597600,22901.37,22927.39,22466.49,22638,NaN
1674604800,22636.48,22707.54,22333.47,22493.09,NaN
1674612000,22490.89,22647.84,22487.73,22647.06,NaN
1674619200,22647.15,22729.1,22616.71,22677.91,NaN
1674626400,22678.12,22768.06,22646.07,22723.57,NaN
1674633600,22723.08,22738.96,22581.97,22611.48,NaN
1674640800,22614.71,22628.04,22485,22599.7,NaN
1674648000,22599.02,22742.6,22576.18,22599.66,NaN
1674655200,22599,22624.28,22345.58,22584.24,NaN
1674662400,22583.84,22696.11,22524.76,22577.74,NaN
1674669600,22577.26,22766.41,22564.01,22758.64,NaN
1674676800,22760.04,23710.7,22760.01,23591.7,NaN
1674684000,23628.24,23821.58,22840.45,23056.8,NaN
1674691200,23068.83,23285.5,23059.99,23165.64,NaN
1674698400,23168.8,23268.74,23117.96,23137.37,NaN
1674705600,23141.02,23197.58,23112.54,23154.38,NaN
1674712800,23154.7,23163.73,22915.44,22976.2,NaN
1674720000,22973.15,23048.05,22917.19,22977.42,NaN
1674727200,22974.32,23000.47,22867.95,22998.29,NaN
1674734400,22997.83,23153.7,22891.18,23128.79,NaN
1674741600,23132.12,23249,22903.95,22959.37,NaN
1674748800,22960.95,23053.62,22860.96,22983.43,NaN
1674756000,22982.62,23102.28,22965.52,23073.1,NaN
1674763200,23072.27,23160.47,22970.36,23080.18,NaN
1674770400,23081.33,23140.02,22972.82,23011.11,NaN
1674777600,23017.09,23079.21,22532.21,22650.73,NaN
1674784800,22648.82,22844.85,22624.2,22776.48,NaN
1674792000,22777.17,23097.34,22771.57,23031.7,NaN
1674799200,23043.5,23083.48,22945.39,23081.5,NaN
1674806400,23081.08,23087.2,22916.48,22955.65,NaN
1674813600,22957.17,22995.72,22917.5,22976.55,NaN
